year_index,2020-08,2020-11,2021-07,2021-08,2021-12
utility_id_eia,entity_id,entity_id,entity_id,entity_id,entity_id
utility_name_eia,entity_name,entity_name,entity_name,entity_name,entity_name
plant_id_eia,plant_id,plant_id,plant_id,plant_id,plant_id
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name
state,plant_state,plant_state,plant_state,plant_state,plant_state
county,county,county,county,county,county
generator_id,generator_id,generator_id,generator_id,generator_id,generator_id
technology_description,technology,technology,technology,technology,technology
prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code
operational_status_code,status,status,status,status,status
capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw
winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw
unit_id_eia,unit_code,unit_code,unit_code,unit_code,unit_code
current_planned_operating_month,planned_operation_month,planned_operation_month,planned_operation_month,planned_operation_month,planned_operation_month
current_planned_operating_year,planned_operation_year,planned_operation_year,planned_operation_year,planned_operation_year,planned_operation_year
energy_source_code_1,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code
sector_name,sector,sector,sector,sector,sector
latitude,latitude,latitude,latitude,latitude,latitude
longitude,longitude,longitude,longitude,longitude,longitude
map_bing,bing_map,bing_map,bing_map,bing_map,bing_map
map_google,google_map,google_map,google_map,google_map,google_map
balancing_authority_code_eia,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code
