year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,prime_mover_id_rus,prime_mover_name_rus,primary_renewable_fuel_type_id_rus,primary_renewable_fuel_type_name_rus,renewable_fuel_pct,capacity_kw,net_generation_mwh,capacity_factor_pct,employees_num,total_o_and_m_cost_mils_per_net_kwh,power_cost_mils_per_net_kwh,total_investment_thousand_dollars,ownership_pct,rus_funding_thousand_dollars,comments,date_created
2010,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2011,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2012,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2013,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2014,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2015,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2016,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2017,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2018,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2019,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2020,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
2021,rusborrowerid,borrowername,year,period,plantname,primemoverid,primemovername,primaryrenewablefueltypeid,primaryrenewablefueltypename,renewablefuelpercentage,capacity,netgeneration,capacityfactor,numberofemployees,totalomcost,powercost,totalinvestment,percentageownership,rusfunding,comment,createddate
