year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,opex_supervision_and_engineering_cost,opex_coal_fuel_cost,opex_coal_fuel_cost_per_mmbtu,opex_oil_fuel_cost,opex_oil_fuel_cost_per_mmbtu,opex_gas_fuel_cost,opex_gas_fuel_cost_per_mmbtu,opex_other_fuel_cost,opex_other_fuel_cost_per_mmbtu,opex_total_fuel_cost,opex_total_fuel_cost_per_mwh,opex_total_fuel_cost_per_mmbtu,opex_steam_cost,opex_electric_cost,opex_steam_power_cost,opex_allowances_cost,opex_rents_cost,opex_non_fuels_subtotal_cost,opex_non_fuels_subtotal_cost_per_mwh,opex_operations_total_cost,opex_operations_total_cost_per_mwh,opex_maintenance_supervision_and_engineering_cost,opex_maintenance_structures_cost,opex_maintenance_boiler_plant_cost,opex_maintenance_electric_plant_cost,opex_maintenance_other_plant_cost,opex_maintenance_total_cost,opex_maintenance_total_cost_per_mwh,opex_total_cost,opex_total_cost_per_mwh,capex_depreciation_cost,capex_interest_cost,capex_total_fixed_cost,capex_total_fixed_cost_per_mwh,total_power_cost,total_power_cost_per_mwh
2006,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2007,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2008,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2009,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2010,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2011,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2012,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2013,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2014,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
2015,rusborrowerid,borrowername,year,period,plantname,operationsupervisionandengineeringamount,fuelcoalamount,fuelcoalperbtu,fueloilamount,fueloilperbtu,fuelgasamount,fuelgasperbtu,fuelotheramount,fuelotherperbtu,fuelsubtotalamount,fuelsubtotalmillsnet,fuelsubtotalperbtu,steamexpensesamount,electricexpensesamount,miscellaneoussteampowerexpenseamount,allowancesamount,rentsamount,nonfuelsubtotalamount,nonfuelsubtotalmillsnet,operationexpenseamount,operationexpensemillsnet,maintenancesupervisionandengineeringamount,maintenanceofstructuresamount,maintenanceofboilerplantamount,maintenanceofelectricplantamount,maintenanceofmiscellaneousplantamount,maintenanceexpenseamount,maintenanceexpensemillsnet,totalproductionexpensesamount,totalproductionexpensesmillsnet,depreciationamount,interestamount,totalfixedcostsamount,totalfixedcostsmillsnet,powercostsamount,powercostsmillsnet
